Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,#21,Jon Stewart,4.5 out of 5 stars,553,Hardcover,$15.00 
The Official SAT Study Guide,#22,,4.4 out of 5 stars,"1,492",Paperback,$46.99 
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",#23,John Heilemann,4.4 out of 5 stars,"1,327",Hardcover,$12.74 
The Immortal Life of Henrietta Lacks,#24,Rebecca Skloot,4.7 out of 5 stars,"15,998",Hardcover,$14.32 
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,#26,Doug Lemov,4.5 out of 5 stars,831,Paperback,$18.00 
"The Lost Hero (Heroes of Olympus, Book 1)",#25,Rick Riordan,4.8 out of 5 stars,"9,287",Hardcover,$15.24 
Outliers: The Story of Success,#27,Malcolm Gladwell,4.7 out of 5 stars,"19,701",Hardcover,$16.64 
The Five Dysfunctions of a Team: A Leadership Fable,#29,,4.6 out of 5 stars,"5,241",Hardcover,$18.60 
Catching Fire (The Hunger Games),#28,Suzanne Collins,4.7 out of 5 stars,"30,036",Hardcover,$10.73 
Good to Great: Why Some Companies Make the Leap and Others Don't,#30,Jim Collins,4.5 out of 5 stars,"5,048",Hardcover,$14.49 
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,#31,Greg Mortenson,4.4 out of 5 stars,"3,383",Paperback,$12.44 
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",#32,,4.7 out of 5 stars,"2,206",Paperback,$16.61 
The Confession: A Novel,#33,John Grisham,4.4 out of 5 stars,"5,573",Hardcover,$15.71 
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,#35,,4.7 out of 5 stars,567,Paperback,$41.80 
"Delivering Happiness: A Path to Profits, Passion, and Purpose",#34,Tony Hsieh,4.6 out of 5 stars,"2,918",Hardcover,$21.31 
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",#36,Rick Riordan,4.8 out of 5 stars,"11,947",Hardcover,$13.29 
The Art of Racing in the Rain: A Novel,#38,Garth Stein,4.7 out of 5 stars,"15,412",Paperback,$9.99 
Switch: How to Change Things When Change Is Hard,#37,Chip Heath,4.6 out of 5 stars,"3,476",Hardcover,$13.29 
The 5 Love Languages: The Secret to Love That Lasts,#39,Gary Chapman,4.7 out of 5 stars,"6,723",Paperback,$17.56 
"Broke: The Plan to Restore Our Trust, Truth and Treasure",#40,Glenn Beck,4.5 out of 5 stars,528,Hardcover,$9.23 
"The Red Pyramid (The Kane Chronicles, Book 1)",#41,Rick Riordan,4.7 out of 5 stars,"4,211",Hardcover,$10.61 
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),#42,Rick Riordan,4.8 out of 5 stars,"1,080",Paperback,$26.99 
Little Bee,#43,Chris Cleave,4.2 out of 5 stars,"1,831",Paperback,$10.38 
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",#44,Ina Garten,4.8 out of 5 stars,"1,251",Hardcover,$16.53 
George Washington's Sacred Fire,#45,Peter A. Lillback,4.6 out of 5 stars,580,Paperback,
Radical: Taking Back Your Faith from the American Dream,#46,David Platt,4.7 out of 5 stars,"2,646",Paperback,$9.21 
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,#51,,4.6 out of 5 stars,"1,576",Paperback,$20.99 
Cleopatra: A Life,#52,Stacy Schiff,4.2 out of 5 stars,"1,467",Hardcover,$12.15 
Freedom: A Novel,#53,Jonathan Franzen,4.0 out of 5 stars,"2,447",Hardcover,$12.59 
Freedom,#54,Jonathan Franzen,4.0 out of 5 stars,"2,447",Hardcover,$16.95 
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",#55,Christopher McDougall,4.7 out of 5 stars,"10,461",Hardcover,$15.59 
Fall of Giants (The Century Trilogy),#56,Ken Follett,4.5 out of 5 stars,"16,530",Hardcover,$16.99 
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",#57,Elizabeth Gilbert,4.3 out of 5 stars,"3,213",Paperback,$9.99 
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",#58,Elizabeth Gilbert,4.4 out of 5 stars,"4,495",Paperback,$9.76 
Tao I: The Way of All Life,#59,,4.2 out of 5 stars,85,Hardcover,
Chelsea Chelsea Bang Bang,#60,Chelsea Handler,4.4 out of 5 stars,"1,002",Hardcover,$8.37 
Let the Great World Spin: A Novel,#61,Colum McCann,4.3 out of 5 stars,"1,595",Paperback,$9.50 
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,#62,Ree Drummond,4.8 out of 5 stars,"5,216",Hardcover,$14.97 
The Tipping Point: How Little Things Can Make a Big Difference,#63,Malcolm Gladwell,4.4 out of 5 stars,"5,024",Paperback,$13.86 
The Omnivore's Dilemma: A Natural History of Four Meals,#64,Michael Pollan,4.6 out of 5 stars,"3,432",Paperback,$10.33 
The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,#65,Jorge Cruise,4.1 out of 5 stars,"1,043",Spiral-bound,$24.37 
"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",#66,Rick Riordan,4.8 out of 5 stars,"10,941",Paperback,$7.96 
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",#67,Timothy Ferriss,4.5 out of 5 stars,"16,350",Hardcover,$13.39 
Sizzling Sixteen (Stephanie Plum Novels),#69,Janet Evanovich,4.6 out of 5 stars,"3,030",Hardcover,$11.00 
The Overton Window ,#71,Glenn Beck,4.6 out of 5 stars,"1,264",Hardcover,$9.00 
The Grand Design,#70,Stephen Hawking,4.5 out of 5 stars,"2,489",Hardcover,
"Full Dark, No Stars",#68,Stephen King,4.6 out of 5 stars,"3,082",Hardcover,$18.58 
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#72,Sarah Young,4.9 out of 5 stars,"32,052",Hardcover,$7.53 
Spoken from the Heart,#73,Laura Bush,4.6 out of 5 stars,654,Hardcover,$12.00 
Diary of a Wimpy Kid Do-it-yourself Book,#74,Jeff Kinney,4.8 out of 5 stars,"7,607",Hardcover,
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,#75,Mark Nepo,4.7 out of 5 stars,"3,676",Paperback,$20.99 
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",#76,Julia Child,4.8 out of 5 stars,"6,101",Hardcover,$24.63 
Safe Haven,#77,Nicholas Sparks,4.7 out of 5 stars,"10,354",Hardcover,$11.73 
"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",#78,Daniel G. Amen,4.5 out of 5 stars,801,Hardcover,$13.96 
"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",#79,Alicia Silverstone,4.5 out of 5 stars,"1,505",Hardcover,$20.45 
Decoded,#80,Jay-Z,4.7 out of 5 stars,"1,409",Hardcover,$38.01 
