Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),#1,Stieg Larsson,4.7 out of 5 stars,"10,101",Hardcover,$13.41 
The Girl with the Dragon Tattoo (Millennium Series),#2,Stieg Larsson,4.5 out of 5 stars,"13,940",Paperback,$10.48 
The Help,#4,Kathryn Stockett,4.8 out of 5 stars,"16,750",Hardcover,$16.14 
Decision Points,#3,George W. Bush,4.6 out of 5 stars,"2,332",Hardcover,$14.58 
The Girl Who Played with Fire (Millennium Series),#5,Stieg Larsson,4.7 out of 5 stars,"9,644",Paperback,$10.99 
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",#6,Jeff Kinney,4.8 out of 5 stars,"8,780",Hardcover,$10.41 
StrengthsFinder 2.0,#7,Tom Rath,4.1 out of 5 stars,"6,511",Hardcover,$20.88 
Mockingjay (The Hunger Games),#8,Suzanne Collins,4.6 out of 5 stars,"34,457",Hardcover,$8.99 
Women Food and God: An Unexpected Path to Almost Everything,#9,Geneen Roth,4.3 out of 5 stars,"1,862",Hardcover,$11.95 
"Publication Manual of the American Psychological Association, 6th Edition",#10,American Psychological Association,4.5 out of 5 stars,"12,297",Paperback,$29.95 
"Autobiography of Mark Twain, Vol. 1",#11,Mark Twain,4.3 out of 5 stars,595,Hardcover,$16.81 
The Big Short: Inside the Doomsday Machine,#12,Michael Lewis,4.7 out of 5 stars,"5,288",Hardcover,$14.50 
Food Rules: An Eater's Manual,#13,Michael Pollan,4.5 out of 5 stars,"2,293",Paperback,$8.07 
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#14,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Hardcover,$15.04 
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",#15,Charlaine Harris,4.5 out of 5 stars,"2,976",Hardcover,$11.76 
Sh*t My Dad Says,#16,Justin Halpern,4.7 out of 5 stars,"1,697",Hardcover,$10.39 
Crazy Love: Overwhelmed by a Relentless God,#17,Francis Chan,4.7 out of 5 stars,"1,875",Paperback,$16.60 
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),#18,Stephenie Meyer,4.7 out of 5 stars,"5,612",Hardcover,$11.99 
Cutting for Stone,#20,Abraham Verghese,4.6 out of 5 stars,"6,349",Paperback,$12.40 
Life,#19,Keith Richards,4.6 out of 5 stars,"4,199",Hardcover,$17.90 
