Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Ford County: Stories,#64,John Grisham,4.4 out of 5 stars,"3,323",Hardcover,$11.76 
"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",#65,Michelle Malkin,4.6 out of 5 stars,"1,081",Hardcover,$11.28 
Blink: The Power of Thinking Without Thinking,#66,Malcolm Gladwell,4.6 out of 5 stars,"7,658",Paperback,$11.39 
"Diary of a Wimpy Kid, Book 1",#67,Jeff Kinney,4.8 out of 5 stars,"13,369",Hardcover,
The Graveyard Book,#68,Neil Gaiman,4.7 out of 5 stars,"6,357",Hardcover,$15.43 
An Echo in the Bone (Outlander),#69,Diana Gabaldon,4.8 out of 5 stars,"14,837",Hardcover,$28.99 
"The Gathering Storm (Wheel of Time, Book 12)",#70,Robert Jordan,4.8 out of 5 stars,"4,525",Hardcover,$20.98 
Dreams from My Father: A Story of Race and Inheritance,#71,Barack Obama,4.7 out of 5 stars,"7,024",Paperback,$10.98 
Pirate Latitudes: A Novel,#72,Michael Crichton,4.2 out of 5 stars,"2,404",Hardcover,$14.94 
The Official SAT Study Guide: For the New SAT (tm),#73,,4.5 out of 5 stars,256,Paperback,
Getting Things Done: The Art of Stress-Free Productivity,#74,David Allen,4.6 out of 5 stars,"4,392",Paperback,$18.22 
How to Win Friends & Influence People,#75,Dale Carnegie,4.7 out of 5 stars,"61,723",Paperback,$10.99 
The Official SAT Study Guide,#76,,4.4 out of 5 stars,"1,492",Paperback,$46.99 
Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),#77,Janet Evanovich,4.6 out of 5 stars,"2,822",Hardcover,$14.29 
Sarah's Key,#78,Tatiana de Rosnay,4.6 out of 5 stars,"4,503",Paperback,$10.83 
From Dead to Worse (Sookie Stackhouse/True Blood),#79,Charlaine Harris,4.7 out of 5 stars,"1,820",Mass Market Paperback,$7.99 
Wolf Hall,#80,Hilary Mantel,4.1 out of 5 stars,"9,688",Hardcover,$20.27 
The Hunger Games,#81,Suzanne Collins,4.7 out of 5 stars,"39,777",Hardcover,$13.21 
The Yankee Years,#82,Joe Torre,4.6 out of 5 stars,393,Hardcover,$10.00 
Push: A Novel,#83,Sapphire,4.6 out of 5 stars,"1,400",Paperback,
The End of Overeating: Taking Control of the Insatiable American Appetite,#84,David Kessler,4.2 out of 5 stars,923,Hardcover,$16.00 
The Lacuna: A Novel,#85,Barbara Kingsolver,4.3 out of 5 stars,"1,632",Hardcover,$16.40 
Crucial Conversations: Tools for Talking When Stakes are High,#86,Kerry Patterson,4.5 out of 5 stars,733,Paperback,
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,#87,Nicholas D. Kristof,4.7 out of 5 stars,"2,080",Hardcover,$15.99 
The Associate,#88,John Grisham,4.4 out of 5 stars,"2,635",Hardcover,$10.98 
