Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",#1,J.K. Rowling,4.3 out of 5 stars,"37,963",Hardcover,$21.50 
StrengthsFinder 2.0,#2,Tom Rath,4.1 out of 5 stars,"6,516",Hardcover,$20.88 
First 100 Words: A Padded Board Book,#3,Roger Priddy,4.7 out of 5 stars,"32,591",Board book,$4.78 
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,#4,,4.5 out of 5 stars,"27,139",Hardcover,$8.58 
"Oh, the Places You'll Go!  ",#5,Dr. Seuss,4.9 out of 5 stars,"35,464",Hardcover,$8.98 
Diary of a Wimpy Kid #11: Double Down,#6,Jeff Kinney,4.8 out of 5 stars,"11,718",Hardcover,$12.29 
Giraffes Can't Dance,#8,Giles Andreae,4.8 out of 5 stars,"27,759",Board book,$6.28 
When Breath Becomes Air,#7,Paul Kalanithi,4.8 out of 5 stars,"24,415",Hardcover,$14.63 
The 5 Love Languages: The Secret to Love that Lasts,#9,Gary Chapman,4.8 out of 5 stars,"62,780",Paperback,$7.57 
The Whole30: The 30-Day Guide to Total Health and Food Freedom,#10,Melissa Hartwig Urban,4.6 out of 5 stars,"14,621",Hardcover,$14.68 
A Man Called Ove: A Novel,#11,Fredrik Backman,4.6 out of 5 stars,"45,063",Paperback,$7.63 
Killing the Rising Sun: How America Vanquished World War II Japan,#12,Bill O'Reilly,4.8 out of 5 stars,"10,867",Hardcover,$15.99 
The Magnolia Story,#14,Chip Gaines,4.8 out of 5 stars,"10,005",Hardcover,$12.40 
How to Win Friends & Influence People,#13,Dale Carnegie,4.7 out of 5 stars,"61,790",Paperback,$10.99 
Laugh-Out-Loud Jokes for Kids,#15,Rob Elliott,4.6 out of 5 stars,"10,283",Paperback,$4.24 
To Kill a Mockingbird,#16,Harper Lee,4.8 out of 5 stars,"57,266",Mass Market Paperback,$1.07 
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,#17,J. D. Vance,4.5 out of 5 stars,"27,813",Hardcover,$13.99 
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),#18,J.K. Rowling,4.7 out of 5 stars,"7,882",Hardcover,$13.16 
Hamilton: The Revolution,#19,Lin-Manuel Miranda,4.9 out of 5 stars,"12,377",Hardcover,$23.69 
The Girl on the Train,#20,Paula Hawkins,4.1 out of 5 stars,"88,546",Paperback,$7.48 
Mindset: The New Psychology of Success,#21,Carol S. Dweck,4.6 out of 5 stars,"12,355",Paperback,$8.55 
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",#22,The College Board,4.4 out of 5 stars,"1,035",Paperback,$25.06 
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",#23,,4.5 out of 5 stars,"3,068",Paperback,$8.99 
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#24,Don Miguel Ruiz,4.7 out of 5 stars,"76,316",Paperback,$7.74 
Milk and Honey,#25,Rupi Kaur,4.7 out of 5 stars,"40,893",Paperback,$7.38 
The Going-To-Bed Book,#26,Sandra Boynton,4.8 out of 5 stars,"13,666",Board book,$3.59 
Born to Run,#27,Bruce Springsteen,4.7 out of 5 stars,"5,233",Hardcover,$16.50 
Alexander Hamilton,#28,Ron Chernow,4.8 out of 5 stars,"18,206",Paperback,$11.04 
The Very Hungry Caterpillar,#29,Eric Carle,4.9 out of 5 stars,"47,575",Board book,$5.06 
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,#30,Stephen R. Covey,4.7 out of 5 stars,"8,573",Paperback,$17.99 
Fahrenheit 451,#51,Ray Bradbury,4.6 out of 5 stars,"27,105",Paperback,$8.29 
Love You Forever,#52,,4.9 out of 5 stars,"46,665",Paperback,$4.98 
The Great Gatsby: The Only Authorized Edition,#53,F. Scott Fitzgerald,4.5 out of 5 stars,"15,522",Paperback,$8.00 
The Five Dysfunctions of a Team: A Leadership Fable,#54,,4.6 out of 5 stars,"5,244",Hardcover,$17.58 
All the Light We Cannot See,#55,Anthony Doerr,4.6 out of 5 stars,"58,614",Hardcover,$15.74 
"Brown Bear, Brown Bear, What Do You See?",#56,,4.9 out of 5 stars,"39,223",Board book,$5.36 
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",#57,Paulo Coelho,4.7 out of 5 stars,"71,921",Paperback,$8.89 
"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",#58,Priscilla Shirer,4.9 out of 5 stars,"9,195",Paperback,$11.89 
The Whistler,#59,John Grisham,4.4 out of 5 stars,"32,300",Hardcover,$12.43 
If Animals Kissed Good Night,#60,Ann Whitford Paul,4.8 out of 5 stars,"63,993",Board book,$4.14 
Cooking for Jeffrey: A Barefoot Contessa Cookbook,#61,Ina Garten,4.7 out of 5 stars,"2,275",Hardcover,$19.16 
"The Trials of Apollo, Book 1: The Hidden Oracle (Trials of Apollo, 1)",#62,Rick Riordan,4.7 out of 5 stars,"8,376",Hardcover,$11.96 
Knock-Knock Jokes for Kids,#63,Rob Elliott,4.5 out of 5 stars,"5,507",Paperback,$3.96 
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),#64,,4.8 out of 5 stars,"11,745",Hardcover,$4.02 
