Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,#65,Brené Brown,4.7 out of 5 stars,"26,792",Paperback,$8.47 
"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",#66,Gary J. Byrne,4.1 out of 5 stars,"7,545",Hardcover,$18.60 
First 100 Animals,#67,Roger Priddy,4.8 out of 5 stars,"8,650",Board book,$5.68 
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",#68,Coloring Books for Adults,4.5 out of 5 stars,"3,070",Paperback,$8.49 
Goodnight Moon,#69,Margaret Wise Brown,4.9 out of 5 stars,"22,252",Board book,$5.36 
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",#70,Brené Brown,4.8 out of 5 stars,"10,743",Paperback,$11.18 
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),#71,Ransom Riggs,4.5 out of 5 stars,"12,539",Paperback,$7.83 
Grit: The Power of Passion and Perseverance,#72,Angela Duckworth,4.6 out of 5 stars,"10,845",Hardcover,$17.06 
Emotional Intelligence 2.0,#73,Travis Bradberry,4.5 out of 5 stars,"9,370",Hardcover,$14.98 
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,#74,Colson Whitehead,4.5 out of 5 stars,"18,867",Hardcover,$13.50 
The Outsiders,#75,S. E. Hinton,4.8 out of 5 stars,"27,101",Paperback,$5.89 
The Food Lab: Better Home Cooking Through Science,#76,J. Kenji López-Alt,4.9 out of 5 stars,"8,287",Hardcover,$27.99 
Me Before You: A Novel (Movie Tie-In),#77,Jojo Moyes,4.6 out of 5 stars,"1,203",Paperback,$15.99 
Chicka Chicka Boom Boom (Board Book),#78,,4.9 out of 5 stars,"30,283",Board book,$4.59 
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",#79,,4.8 out of 5 stars,"22,485",Paperback,$9.48 
Potty (Leslie Patricelli board books),#80,Leslie Patricelli,4.7 out of 5 stars,"12,211",Board book,$6.29 
