Title,Ranking_Seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Guinness World Records 2012,#74,Guinness World Records,4.5 out of 5 stars,470,Hardcover,$17.27
A Visit from the Goon Squad,#76,Jennifer Egan,3.9 out of 5 stars,"2,794",Paperback,$11.59
State of Wonder,#75,Ann Patchett,4.2 out of 5 stars,"3,339",Hardcover,
"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",#77,,4.6 out of 5 stars,"5,349",Paperback,$15.99
Harry Potter Paperback Box Set (Books 1-7),#78,J. K. Rowling,4.9 out of 5 stars,"79,105",Paperback,$38.86
Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),#79,Janet Evanovich,4.6 out of 5 stars,"4,166",Hardcover,$13.69
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,#80,Sean Covey,4.6 out of 5 stars,"10,542",Paperback,$12.62
"Delivering Happiness: A Path to Profits, Passion, and Purpose",#81,Tony Hsieh,4.6 out of 5 stars,"2,918",Hardcover,$21.31
"The Lost Hero (Heroes of Olympus, Book 1)",#82,Rick Riordan,4.8 out of 5 stars,"9,291",Hardcover,$15.24
Room,#83,Emma Donoghue,4.5 out of 5 stars,"9,120",Paperback,$11.10
Hotel on the Corner of Bitter and Sweet,#84,Jamie Ford,4.6 out of 5 stars,"5,667",Paperback,$13.99
The Tipping Point: How Little Things Can Make a Big Difference,#85,Malcolm Gladwell,4.4 out of 5 stars,"5,028",Paperback,$14.40
Emotional Intelligence 2.0,#86,Travis Bradberry,4.5 out of 5 stars,"9,369",Hardcover,$14.98
Outliers: The Story of Success,#87,Malcolm Gladwell,4.7 out of 5 stars,"19,707",Paperback,$16.71
Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,#88,Gene Stone,4.5 out of 5 stars,"2,601",Paperback,$8.69
The Girl Who Played with Fire (Millennium Series),#89,Stieg Larsson,4.7 out of 5 stars,"9,647",Paperback,$10.99
"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",#90,Lisa Lillien,4.4 out of 5 stars,"1,123",Paperback,
The Alchemist,#91,,4.7 out of 5 stars,"3,658",Paperback,$25.97
Getting Things Done: The Art of Stress-Free Productivity,#92,David Allen,4.6 out of 5 stars,"4,392",Paperback,$18.22
The Invention of Hugo Cabret,#93,Brian Selznick,4.8 out of 5 stars,"2,424",Hardcover,$13.12
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",#94,,3.5 out of 5 stars,719,Hardcover,$17.99
Drive: The Surprising Truth About What Motivates Us,#95,Daniel H. Pink,4.5 out of 5 stars,"4,830",Paperback,$12.00
Smokin' Seventeen (Stephanie Plum),#96,Janet Evanovich,4.6 out of 5 stars,"3,226",Hardcover,$12.91
