Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
StrengthsFinder 2.0,#1,Tom Rath,4.1 out of 5 stars,"6,514",Hardcover,$20.88
"Lean In: Women, Work, and the Will to Lead",#2,Sheryl Sandberg,4.5 out of 5 stars,"7,587",Hardcover,$12.60
"Diary of a Wimpy Kid: Hard Luck, Book 8",#3,Jeff Kinney,4.8 out of 5 stars,"10,746",Hardcover,$11.77
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#5,Sarah Young,4.9 out of 5 stars,"32,054",Hardcover,$7.53
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),#4,Rush Limbaugh,4.9 out of 5 stars,"9,156",Hardcover,$10.59
"The House of Hades (Heroes of Olympus, Book 4)",#7,Rick Riordan,4.8 out of 5 stars,"13,128",Hardcover,$12.20
Inferno,#6,Dan Brown,4.2 out of 5 stars,"33,740",Hardcover,$13.59
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",#8,Charles Krauthammer,4.7 out of 5 stars,"7,741",Hardcover,$12.67
The Great Gatsby: The Only Authorized Edition,#9,F. Scott Fitzgerald,4.5 out of 5 stars,"15,522",Paperback,$8.00
Killing Jesus (Bill O'Reilly's Killing Series),#10,Bill O'Reilly,4.5 out of 5 stars,"12,804",Hardcover,$17.99
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,#11,,4.4 out of 5 stars,"16,149",Paperback,$10.49
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",#12,American Psychiatric Association,4.7 out of 5 stars,"11,031",Paperback,$144.00
The Official SAT Study Guide,#13,,4.4 out of 5 stars,"1,492",Paperback,$46.99
The Fault in Our Stars,#14,John Green,4.7 out of 5 stars,"58,227",Hardcover,$11.50
The Book Thief,#15,Markus Zusak,4.7 out of 5 stars,"32,322",Paperback,$6.99
Wonder,#16,R. J. Palacio,4.8 out of 5 stars,"33,368",Hardcover,$9.67
The 5 Love Languages: The Secret to Love That Lasts,#17,Gary Chapman,4.7 out of 5 stars,"6,727",Paperback,$17.56
"Publication Manual of the American Psychological Association, 6th Edition",#18,American Psychological Association,4.5 out of 5 stars,"12,298",Paperback,$29.95
Divergent,#19,Veronica Roth,4.6 out of 5 stars,"29,978",Paperback,$10.00
Laugh-Out-Loud Jokes for Kids,#20,Rob Elliott,4.6 out of 5 stars,"10,283",Paperback,$4.24
"Oh, the Places You'll Go!  ",#21,Dr. Seuss,4.9 out of 5 stars,"35,463",Hardcover,$8.98
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",#22,Malcolm Gladwell,4.5 out of 5 stars,"6,807",Hardcover,$14.15
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,#23,George R.R. Martin,4.6 out of 5 stars,"6,234",Mass Market Paperback,$4.50
Allegiant,#24,Veronica Roth,3.9 out of 5 stars,"22,583",Hardcover,$11.18
And the Mountains Echoed,#25,Khaled Hosseini,4.4 out of 5 stars,"15,612",Hardcover,$15.15
Humans of New York,#26,Brandon Stanton,4.8 out of 5 stars,"5,179",Hardcover,$15.38
The Legend of Zelda: Hyrule Historia,#27,,4.9 out of 5 stars,"8,694",Hardcover,$24.49
Doctor Sleep: A Novel,#28,Stephen King,4.7 out of 5 stars,"22,391",Hardcover,$16.13
Knock-Knock Jokes for Kids,#29,Rob Elliott,4.5 out of 5 stars,"5,507",Paperback,$3.96
The Goldfinch: A Novel (Pulitzer Prize for Fiction),#30,Donna Tartt,4.0 out of 5 stars,"40,556",Hardcover,$21.48
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#31,Don Miguel Ruiz,4.7 out of 5 stars,"76,310",Paperback,$7.74
Gone Girl,#32,Gillian Flynn,4.1 out of 5 stars,"64,305",Hardcover,$14.34
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,#33,Brian Kilmeade,4.7 out of 5 stars,"6,252",Hardcover,$21.88
Quiet: The Power of Introverts in a World That Can't Stop Talking,#34,Susan Cain,4.6 out of 5 stars,"17,112",Paperback,$15.69
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",#35,Sherri Duskey Rinker,4.9 out of 5 stars,"17,914",Hardcover,$11.63
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",#37,William Davis,4.4 out of 5 stars,"8,463",Hardcover,$11.68
Sycamore Row (Jake Brigance),#36,John Grisham,4.6 out of 5 stars,"32,611",Hardcover,$15.05
"The Pioneer Woman Cooks―A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",#38,Ree Drummond,4.8 out of 5 stars,"4,656",Hardcover,$14.25
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#51,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Hardcover,$15.04
Ender's Game (The Ender Quintet),#52,Orson Scott Card,4.6 out of 5 stars,"16,788",Mass Market Paperback,$0.90
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,#53,Brené Brown,4.7 out of 5 stars,"26,792",Paperback,$8.47
What to Expect When You're Expecting,#55,Heidi Murkoff,4.8 out of 5 stars,"27,107",Paperback,$12.87
"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",#54,Robert Galbraith,4.2 out of 5 stars,"24,989",Hardcover,$19.50
America the Beautiful: Rediscovering What Made This Nation Great,#56,,4.8 out of 5 stars,"3,810",Paperback,$14.50
The Liberty Amendments: Restoring the American Republic,#57,Mark R. Levin,4.8 out of 5 stars,"3,985",Hardcover,$16.84
ZEALOT: The Life and Times of Jesus of Nazareth,#58,Reza Aslan,4.4 out of 5 stars,"6,770",Hardcover,$9.63
The One and Only Ivan,#59,,4.8 out of 5 stars,"18,408",Hardcover,$11.96
Good to Great: Why Some Companies Make the Leap and Others Don't,#60,Jim Collins,4.5 out of 5 stars,"5,050",Hardcover,$14.49
SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,#61,Si Robertson,4.7 out of 5 stars,"1,950",Hardcover,$12.99
"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",#62,Gwyneth Paltrow,4.5 out of 5 stars,"1,386",Hardcover,$29.24
Outliers: The Story of Success,#63,Malcolm Gladwell,4.7 out of 5 stars,"19,707",Paperback,$16.71
Jerusalem: A Cookbook,#64,Yotam Ottolenghi,4.8 out of 5 stars,"4,681",Hardcover,$19.39
"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",#65,,4.8 out of 5 stars,"1,453",Hardcover,$49.99
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",#66,,4.6 out of 5 stars,"7,399",Hardcover,$13.95
Looking for Alaska,#67,John Green,4.6 out of 5 stars,"14,280",Paperback,$6.40
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,#68,Malala Yousafzai,4.6 out of 5 stars,"8,790",Hardcover,$14.90
Love You Forever,#69,,4.9 out of 5 stars,"46,664",Paperback,$4.98
The Perks of Being a Wallflower,#70,Stephen Chbosky,4.7 out of 5 stars,"20,525",Paperback,$13.59
Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,#71,,4.6 out of 5 stars,"4,268",Paperback,$12.98
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),#72,E L James,4.6 out of 5 stars,"35,682",Paperback,$21.89
"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",#73,,4.2 out of 5 stars,"10,442",Hardcover,$17.00
The Jesus Storybook Bible: Every Story Whispers His Name,#74,Sally Lloyd-Jones,4.9 out of 5 stars,"10,769",Hardcover,$9.99
Divergent / Insurgent,#75,Veronica Roth,4.6 out of 5 stars,"19,710",Hardcover,$12.61
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",#77,Doris Kearns Goodwin,4.6 out of 5 stars,"2,553",Hardcover,$26.25
How to Win Friends & Influence People,#76,Dale Carnegie,4.7 out of 5 stars,"61,786",Paperback,$10.99
The Hunger Games (Book 1),#78,Suzanne Collins,4.7 out of 5 stars,"39,780",Paperback,$11.69
ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,#79,,3.8 out of 5 stars,993,Paperback,$9.20
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,#80,Jonathan Cahn,4.7 out of 5 stars,"18,219",Paperback,$9.49
The Immortal Life of Henrietta Lacks,#81,Rebecca Skloot,4.7 out of 5 stars,"15,998",Paperback,$12.10
Night (Night),#82,Elie Wiesel,4.7 out of 5 stars,"7,652",Paperback,$5.49
Fifty Shades Darker,#83,E L James,4.5 out of 5 stars,"31,066",Paperback,$10.40
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",#84,,4.5 out of 5 stars,"9,471",Paperback,$11.59
"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",#85,Del Sroufe,4.5 out of 5 stars,"12,362",Paperback,$11.29
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",#86,E L James,4.5 out of 5 stars,"30,773",Paperback,$13.60
The Alchemist,#87,,4.7 out of 5 stars,"3,658",Paperback,$25.97
Mindset: The New Psychology of Success,#89,Carol S. Dweck,4.6 out of 5 stars,"12,354",Paperback,$8.55
The Catcher in the Rye,#88,J.D. Salinger,4.5 out of 5 stars,"25,919",Mass Market Paperback,$5.21
"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",#90,William Davis,4.4 out of 5 stars,"2,201",Hardcover,$14.59
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",#92,,4.8 out of 5 stars,"22,485",Paperback,$9.48
MyMathLab: Student Access Kit,#91,,4.2 out of 5 stars,"4,425",Printed Access Code,$56.32
The Power of Habit: Why We Do What We Do in Life and Business,#93,Charles Duhigg,4.6 out of 5 stars,"19,355",Hardcover,$15.49
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,#94,Naoki Higashida,4.7 out of 5 stars,"6,485",Hardcover,$14.29
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",#95,Tom Rath,4.5 out of 5 stars,"2,220",Hardcover,$17.79
Kaplan GRE Premier 2014 with 6 Practice Tests: book + online + DVD + mobile,#96,,4.3 out of 5 stars,459,Paperback,$14.99
