Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Where the Crawdads Sing,#1,Delia Owens,4.8 out of 5 stars,"211,422",Hardcover,$12.40
Becoming,#2,Michelle Obama,4.8 out of 5 stars,"118,871",Hardcover,$21.26
Educated: A Memoir,#3,Tara Westover,4.7 out of 5 stars,"61,312",Hardcover,$13.00
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),#4,Dav Pilkey,4.9 out of 5 stars,"21,519",Hardcover,$6.43
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",#5,Rachel Hollis,4.6 out of 5 stars,"26,795",Hardcover,$18.15
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),#6,Dav Pilkey,4.9 out of 5 stars,"25,990",Hardcover,$7.76
Wrecking Ball (Diary of a Wimpy Kid Book 14),#7,Jeff Kinney,4.9 out of 5 stars,"17,751",Hardcover,$7.75
The Wonderful Things You Will Be,#8,Emily Winfield Martin,4.9 out of 5 stars,"21,116",Hardcover,$8.55
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",#9,School Zone,4.8 out of 5 stars,"60,799",Paperback,$5.99
The 5 Love Languages: The Secret to Love that Lasts,#10,Gary Chapman,4.8 out of 5 stars,"62,783",Paperback,$7.57
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",#11,Rachel Hollis,4.6 out of 5 stars,"13,782",Hardcover,$17.20
The Wonky Donkey,#12,Craig Smith,4.8 out of 5 stars,"68,333",Paperback,$5.28
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,#13,Mark Manson,4.6 out of 5 stars,"64,617",Hardcover,$13.76
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),#14,M Prefontaine,4.6 out of 5 stars,"26,092",Paperback,$5.99
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",#15,Samin Nosrat,4.8 out of 5 stars,"18,928",Hardcover,$16.65
The Very Hungry Caterpillar,#16,Eric Carle,4.9 out of 5 stars,"47,575",Board book,$5.06
What Should Danny Do? (The Power to Choose Series),#17,Adir Levy,4.8 out of 5 stars,"20,996",Hardcover,$13.99
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,#18,Lysa TerKeurst,4.8 out of 5 stars,"16,281",Hardcover,$13.27
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",#19,Hopscotch Girls,4.8 out of 5 stars,"30,054",Paperback,$6.99
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#20,Don Miguel Ruiz,4.7 out of 5 stars,"76,321",Paperback,$7.74
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),#22,Dav Pilkey,4.9 out of 5 stars,"17,020",Hardcover,$6.48
Unfreedom of the Press,#21,Mark R. Levin,4.9 out of 5 stars,"9,098",Hardcover,$11.50
Giraffes Can't Dance,#23,Giles Andreae,4.8 out of 5 stars,"27,759",Board book,$6.28
