Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
StrengthsFinder 2.0,#1,Tom Rath,4.1 out of 5 stars,"6,516",Hardcover,$20.88
Frozen (Little Golden Book),#2,,4.8 out of 5 stars,"6,166",Hardcover,$0.48
Laugh-Out-Loud Jokes for Kids,#3,Rob Elliott,4.6 out of 5 stars,"10,283",Paperback,$4.24
The Fault in Our Stars,#4,John Green,4.7 out of 5 stars,"58,227",Paperback,$6.10
Diary of a Wimpy Kid: The Long Haul,#5,Jeff Kinney,4.8 out of 5 stars,"11,514",Hardcover,$11.26
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,#6,Randall Munroe,4.7 out of 5 stars,"16,679",Hardcover,$14.80
"The Blood of Olympus (The Heroes of Olympus, 5)",#7,Rick Riordan,4.8 out of 5 stars,"12,949",Hardcover,$11.49
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#8,Sarah Young,4.9 out of 5 stars,"32,054",Hardcover,$7.53
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#9,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Paperback,$12.99
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,#10,,4.6 out of 5 stars,"4,597",Paperback,$5.38
The Day the Crayons Quit,#11,Drew Daywalt,4.8 out of 5 stars,"17,648",Hardcover,$9.19
Divergent,#12,Veronica Roth,4.6 out of 5 stars,"29,978",Paperback,$10.00
The Fault in Our Stars,#13,John Green,4.7 out of 5 stars,"58,227",Hardcover,$11.50
"Oh, the Places You'll Go!  ",#14,Dr. Seuss,4.9 out of 5 stars,"35,463",Hardcover,$8.98
To Kill a Mockingbird,#15,Harper Lee,4.8 out of 5 stars,"57,265",Mass Market Paperback,$1.07
Gone Girl,#16,Gillian Flynn,4.1 out of 5 stars,"64,307",Paperback,$14.99
The Book Thief,#17,Markus Zusak,4.7 out of 5 stars,"32,322",Paperback,$6.99
The Official SAT Study Guide,#18,,4.4 out of 5 stars,"1,492",Paperback,$46.99
Humans of New York,#19,Brandon Stanton,4.8 out of 5 stars,"5,179",Hardcover,$15.38
The Goldfinch: A Novel (Pulitzer Prize for Fiction),#20,Donna Tartt,4.0 out of 5 stars,"40,557",Hardcover,$21.48
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",#21,American Psychiatric Association,4.7 out of 5 stars,"11,031",Paperback,$144.00
Wonder,#22,R. J. Palacio,4.8 out of 5 stars,"33,367",Hardcover,$9.67
The Book with No Pictures,#23,B. J. Novak,4.8 out of 5 stars,"15,332",Hardcover,$10.74
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),#24,Rush Limbaugh,4.9 out of 5 stars,"4,902",Hardcover,$9.59
The 5 Love Languages: The Secret to Love That Lasts,#25,Gary Chapman,4.7 out of 5 stars,"6,727",Paperback,$17.56
Knock-Knock Jokes for Kids,#26,Rob Elliott,4.5 out of 5 stars,"5,507",Paperback,$3.96
JOURNEY TO THE ICE P,#27,RH Disney,4.6 out of 5 stars,"1,089",Paperback,$0.95
"Publication Manual of the American Psychological Association, 6th Edition",#28,American Psychological Association,4.5 out of 5 stars,"12,299",Paperback,$29.95
Little Blue Truck,#29,Alice Schertle,4.9 out of 5 stars,"1,957",Board book,$1.21
Make It Ahead: A Barefoot Contessa Cookbook,#30,Ina Garten,4.6 out of 5 stars,"2,104",Hardcover,$17.97
First 100 Words: A Padded Board Book,#31,Roger Priddy,4.7 out of 5 stars,"32,591",Board book,$4.78
If I Stay,#32,Gayle Forman,4.4 out of 5 stars,"9,621",Paperback,$9.99
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,#33,George R. R. Martin,4.7 out of 5 stars,"38,308",Mass Market Paperback,$28.62
Divergent / Insurgent,#34,Veronica Roth,4.6 out of 5 stars,"19,710",Hardcover,$12.61
Orphan Train,#36,Christina Baker Kline,4.6 out of 5 stars,"24,515",Paperback,$10.61
Capital in the Twenty First Century,#35,Thomas Piketty,4.5 out of 5 stars,"4,207",Hardcover,$27.99
Mindset: The New Psychology of Success,#37,Carol S. Dweck,4.6 out of 5 stars,"12,355",Paperback,$8.55
How to Win Friends & Influence People,#38,Dale Carnegie,4.7 out of 5 stars,"61,788",Paperback,$10.99
StrengthsFinder 2.0,#1,Tom Rath,4.1 out of 5 stars,"6,516",Hardcover,$20.88
Frozen (Little Golden Book),#2,,4.8 out of 5 stars,"6,166",Hardcover,$0.48
The Fault in Our Stars,#4,John Green,4.7 out of 5 stars,"58,227",Paperback,$6.10
Diary of a Wimpy Kid: The Long Haul,#5,Jeff Kinney,4.8 out of 5 stars,"11,514",Hardcover,$11.26
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,#6,Randall Munroe,4.7 out of 5 stars,"16,679",Hardcover,$14.80
Laugh-Out-Loud Jokes for Kids,#3,Rob Elliott,4.6 out of 5 stars,"10,283",Paperback,$4.24
"The Blood of Olympus (The Heroes of Olympus, 5)",#7,Rick Riordan,4.8 out of 5 stars,"12,949",Hardcover,$11.49
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#8,Sarah Young,4.9 out of 5 stars,"32,054",Hardcover,$7.53
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#9,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Paperback,$12.99
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,#10,,4.6 out of 5 stars,"4,597",Paperback,$5.38
The Day the Crayons Quit,#11,Drew Daywalt,4.8 out of 5 stars,"17,648",Hardcover,$9.19
Divergent,#12,Veronica Roth,4.6 out of 5 stars,"29,978",Paperback,$10.00
"Oh, the Places You'll Go!  ",#14,Dr. Seuss,4.9 out of 5 stars,"35,463",Hardcover,$8.98
To Kill a Mockingbird,#15,Harper Lee,4.8 out of 5 stars,"57,265",Mass Market Paperback,$1.07
The Fault in Our Stars,#13,John Green,4.7 out of 5 stars,"58,227",Hardcover,$11.50
Gone Girl,#16,Gillian Flynn,4.1 out of 5 stars,"64,307",Paperback,$14.99
The Book Thief,#17,Markus Zusak,4.7 out of 5 stars,"32,322",Paperback,$6.99
The Official SAT Study Guide,#18,,4.4 out of 5 stars,"1,492",Paperback,$46.99
Humans of New York,#19,Brandon Stanton,4.8 out of 5 stars,"5,179",Hardcover,$15.38
