Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",#1,E L James,4.0 out of 5 stars,"57,602",Paperback,$13.75
Fifty Shades Darker,#2,E L James,4.5 out of 5 stars,"31,066",Paperback,$10.40
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",#3,E L James,4.5 out of 5 stars,"30,773",Paperback,$13.60
The Hunger Games (Book 1),#4,Suzanne Collins,4.7 out of 5 stars,"39,780",Paperback,$11.69
StrengthsFinder 2.0,#5,Tom Rath,4.1 out of 5 stars,"6,514",Hardcover,$20.88
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),#6,E L James,4.6 out of 5 stars,"35,682",Paperback,$21.89
Catching Fire (The Hunger Games),#7,Suzanne Collins,4.7 out of 5 stars,"30,038",Hardcover,$10.73
Mockingjay (The Hunger Games),#8,Suzanne Collins,4.6 out of 5 stars,"34,459",Hardcover,$8.99
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",#9,Jeff Kinney,4.7 out of 5 stars,"10,898",Hardcover,$13.95
The Hunger Games Trilogy Boxed Set (1),#11,Suzanne Collins,4.8 out of 5 stars,"25,163",Hardcover,$49.99
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,#10,Mark Owen,4.6 out of 5 stars,"9,369",Hardcover,$14.05
Gone Girl,#12,Gillian Flynn,4.1 out of 5 stars,"64,305",Hardcover,$14.34
"The Mark of Athena (Heroes of Olympus, Book 3)",#13,Rick Riordan,4.8 out of 5 stars,"11,904",Hardcover,$11.46
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,#15,George R.R. Martin,4.6 out of 5 stars,"6,234",Mass Market Paperback,
Killing Kennedy: The End of Camelot,#16,Bill O'Reilly,4.6 out of 5 stars,"10,072",Hardcover,$17.62
The Official SAT Study Guide,#14,,4.4 out of 5 stars,"1,492",Paperback,$46.99
"Publication Manual of the American Psychological Association, 6th Edition",#17,American Psychological Association,4.5 out of 5 stars,"12,298",Paperback,$29.95
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),#18,Bill O'Reilly,4.7 out of 5 stars,"10,656",Hardcover,$15.00
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#19,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Hardcover,$15.04
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,#20,,4.4 out of 5 stars,"16,149",Paperback,$10.49
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,#22,Ina Garten,4.8 out of 5 stars,"2,229",Hardcover,$17.99
The 5 Love Languages: The Secret to Love That Lasts,#21,Gary Chapman,4.7 out of 5 stars,"6,727",Paperback,$17.56
"Thinking, Fast and Slow",#23,Daniel Kahneman,4.6 out of 5 stars,"23,775",Hardcover,$20.99
The Casual Vacancy,#24,J.K. Rowling,3.4 out of 5 stars,"10,436",Hardcover,$14.25
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,#25,Jonathan Cahn,4.7 out of 5 stars,"18,219",Paperback,$9.49
The Power of Habit: Why We Do What We Do in Life and Business,#26,Charles Duhigg,4.6 out of 5 stars,"19,355",Hardcover,$15.49
Steve Jobs: The Exclusive Biography,#27,Walter Isaacson,4.7 out of 5 stars,"10,899",Hardcover,$17.37
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",#28,William Davis,4.4 out of 5 stars,"8,463",Hardcover,$11.68
"Oh, the Places You'll Go!  ",#29,Dr. Seuss,4.9 out of 5 stars,"35,463",Hardcover,$8.98
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,#30,,4.6 out of 5 stars,"1,578",Paperback,$20.99
The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,#51,Deb Perelman,4.7 out of 5 stars,"1,724",Hardcover,$17.14
What to Expect When You're Expecting,#52,Heidi Murkoff,4.8 out of 5 stars,"27,107",Paperback,$12.87
The Walking Dead: Compendium One,#53,Robert Kirkman,4.8 out of 5 stars,"6,880",Paperback,$31.49
The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,#54,Nate Silver,4.4 out of 5 stars,"1,845",Hardcover,$17.00
How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),#55,The Oatmeal,4.5 out of 5 stars,"9,579",Paperback,$7.07
A Dance with Dragons (A Song of Ice and Fire),#56,George R. R. Martin,4.5 out of 5 stars,"16,311",Hardcover,$16.59
America Again: Re-becoming the Greatness We Never Weren't,#57,Stephen Colbert,4.3 out of 5 stars,593,Hardcover,$12.91
LEGO NINJAGO: Character Encyclopedia,#58,,4.6 out of 5 stars,865,Hardcover,
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,#59,Chris Kyle,4.6 out of 5 stars,"18,791",Hardcover,$23.45
Bared to You,#62,Sylvia Day,4.4 out of 5 stars,"13,338",Paperback,$16.99
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,#61,Doug Lemov,4.5 out of 5 stars,831,Paperback,$18.00
Outliers: The Story of Success,#60,Malcolm Gladwell,4.7 out of 5 stars,"19,707",Paperback,$16.71
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",#64,Tom Rath,4.5 out of 5 stars,"2,220",Hardcover,$17.79
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#63,Don Miguel Ruiz,4.7 out of 5 stars,"76,310",Paperback,$7.74
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,#65,,4.3 out of 5 stars,"2,991",Hardcover,$18.99
Crazy Love: Overwhelmed by a Relentless God,#66,Francis Chan,4.7 out of 5 stars,"1,875",Paperback,$16.60
Go the F**k to Sleep,#67,Adam Mansbach,4.8 out of 5 stars,"18,466",Hardcover,$8.99
Bring Up the Bodies,#68,Hilary Mantel,4.5 out of 5 stars,"7,604",Hardcover,$24.99
"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",#69,Jim Collins,4.6 out of 5 stars,"1,155",Hardcover,$15.69
"Reflected in You (Crossfire, Book 2)",#71,Sylvia Day,4.6 out of 5 stars,"11,569",Paperback,$12.16
Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,#70,,4.5 out of 5 stars,"9,471",Mass Market Paperback,
Who Moved My Cheese,#72,Spencer Johnson,4.6 out of 5 stars,"13,528",Hardcover,$8.89
The Book Thief,#73,Markus Zusak,4.7 out of 5 stars,"32,322",Paperback,$6.99
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",#75,Katherine Boo,4.3 out of 5 stars,"3,600",Hardcover,$15.10
A Guide to the Project Management Body of Knowledge,#74,Project Management Institute,4.4 out of 5 stars,695,Paperback,$10.18
"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",#76,Charlaine Harris,4.5 out of 5 stars,"4,026",Hardcover,$15.61
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",#77,Kerry Patterson,4.7 out of 5 stars,"9,180",Paperback,$22.99
Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,#78,Gene Stone,4.5 out of 5 stars,"2,601",Paperback,$8.69
The Jesus Storybook Bible: Every Story Whispers His Name,#79,Sally Lloyd-Jones,4.9 out of 5 stars,"10,769",Hardcover,$9.99
Notorious Nineteen: A Stephanie Plum Novel,#80,Janet Evanovich,4.6 out of 5 stars,"7,559",Hardcover,$14.25
"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",#81,Timothy Ferriss,4.5 out of 5 stars,"2,736",Hardcover,$49.90
Cloud Atlas,#82,David Mitchell,4.3 out of 5 stars,"5,227",Paperback,$12.29
The Alchemist,#83,,4.7 out of 5 stars,"3,658",Paperback,$25.97
The Hunger Games,#84,Suzanne Collins,4.7 out of 5 stars,"39,780",Hardcover,$13.21
"Help, Thanks, Wow: The Three Essential Prayers",#85,Anne Lamott,4.6 out of 5 stars,"1,891",Hardcover,$15.47
"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",#87,Woo Myung,3.8 out of 5 stars,48,Hardcover,$14.00
Wonder,#86,R. J. Palacio,4.8 out of 5 stars,"33,368",Hardcover,$9.67
"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",#88,Mary C. Neal,4.5 out of 5 stars,"4,556",Paperback,$9.29
